song_id,song_title,duration,year,danceability,energy,loudness,tempo,time_signature,segment_loudness_avg,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,label
b'SOBFZKC12A6D4FC1F7',b'Man No Sober (LP Version)',266.05669,1982,0.0,0.0,0.7073926744846826,153.264,4,-29.57322356739306,0.397703793381759,0.4685399515738496,0.4381589991928981,0.2332703793381761,0.3374447134786115,0.2583083131557709,0.366601291364003,0.3006642453591609,0.240230831315577,0.3109830508474575,0.2904834543987085,0.5454350282485877,37.67659806295399,26.568039548022583,-6.310569007263927,37.66747861178367,21.45650686037129,16.186882970137237,-3.4953317191283304,-2.460120258272801,7.945407586763525,7.71570056497175,0.534736884584342,0.0660879741727213,energetic
b'SOFACAE12AB01865E9',b'Tracy',172.61669,2004,0.0,0.0,0.7733378106111485,104.031,1,-19.42285068762279,0.4814282907662082,0.6962966601178787,0.4404479371316304,0.1962475442043222,0.1674636542239684,0.1717328094302554,0.235400785854617,0.1936660117878192,0.1899803536345778,0.2046856581532417,0.2375186640471515,0.4971060903732811,43.93187229862472,5.104854616895859,32.020742632613,-2.692744597249507,-50.06179567779959,-4.524522593320236,-17.762563850687602,-1.334076620825148,12.05661689587426,1.5739351669941075,1.1977799607072672,7.848159135559923,cheerful
b'SOKBKCA12A6D4F7539',b'One Night Alone',229.642,1988,0.0,0.0,0.6542852714780183,129.846,4,-20.99591981132076,0.4526462264150942,0.2955078616352198,0.3956823899371064,0.2240204402515724,0.3782720125786167,0.2987625786163522,0.3173993710691823,0.4851069182389939,0.2566540880503143,0.3024858490566035,0.2475157232704402,0.3915959119496857,41.9082562893082,42.15068553459113,19.657621069182397,-3.954888364779873,-14.71001729559748,-13.151515723270432,3.664828616352199,-6.9922893081761,3.7630172955974857,-1.0377374213836477,-0.982284591194969,5.006116352201261,cheerful
b'SOWMEYR12AB0182279',b'Scelxenak',70.03383,2002,0.0,0.0,0.864880921630418,164.216,4,-11.398859375,0.368015625,0.4151796874999997,0.557234375,0.4220312500000001,0.5211171875,0.5237890625000001,0.4299609375,0.4259375000000001,0.4886718749999998,0.5699609374999997,0.5398437500000001,0.3759531250000003,51.03585156250001,117.33115625,90.83740625,2.6320859375,-50.3492734375,-4.257750000000001,-33.631093749999984,-1.8876171875000003,30.634671874999988,8.131015624999996,-0.6114843750000009,-5.162250000000001,cheerful
b'SOCIYKT12A6D4F8085',b'New Love',261.27628,0,0.0,0.0,0.628480652993749,129.393,4,-25.861214147286823,0.4261812015503876,0.6578439922480619,0.2837277131782947,0.254610465116279,0.4662558139534882,0.3665852713178295,0.6180532945736428,0.3197393410852707,0.266190891472868,0.3314893410852718,0.2669970930232561,0.333792635658915,38.5171085271318,39.508796511627935,17.30752810077525,11.8062664728682,-21.04795058139536,-4.632746124031006,-6.2389137596899245,-2.6678120155038743,16.788346899224795,9.173983527131782,-1.3677480620155038,0.0364137596899235,romantic
b'SONTBYE12AB0182855',b'Love In Time',345.5473,2008,0.0,0.0,0.5843622462158393,171.99,7,-27.36922484689413,0.3414969378827647,0.3797217847769031,0.2835546806649168,0.3214558180227468,0.2821618547681541,0.3518416447944009,0.2886115485564304,0.3831793525809272,0.3009221347331585,0.2422230971128608,0.3374199475065611,0.2232659667541554,36.18190988626419,-83.61701749781282,-16.091818897637825,-13.935257217847765,7.416839895013119,-14.357592300962372,5.606340332458441,1.619903762029746,7.347166229221342,4.04036220472441,-5.397203849518813,-3.525893263342081,energetic
b'SOTZGQR12A8C13718B',b'Judge Harsh Blues (Tk. 1)',151.97995,0,0.0,0.0,0.5878493568218216,123.111,4,-31.21823320895522,0.3009776119402986,0.3539850746268655,0.3388115671641792,0.2238115671641792,0.0846660447761193,0.1499421641791044,0.3803059701492537,0.1292611940298508,0.2312630597014926,0.2901156716417909,0.5622350746268658,0.594889925373135,33.41600559701493,-54.14206529850743,-15.252384328358207,-22.66487686567165,-4.091477611940303,1.724569029850744,-17.044546641791026,12.22660074626866,-26.868897388059715,1.0411716417910448,0.6154962686567148,15.85295149253732,romantic
b'SOVHTXW12A8C141298',b'Xenophobic Hate Machine',126.17098,2005,0.0,0.0,0.8161646949423981,88.053,4,-11.988868338557994,0.496122257053292,0.5474858934169281,0.4190470219435739,0.3808213166144202,0.4036708463949843,0.4587523510971784,0.5379811912225707,0.4395768025078368,0.520260188087774,0.4999404388714734,0.4421222570532917,0.5300532915360501,49.99310971786836,58.0090470219436,18.53153918495297,-9.962724137931032,-76.57487774294677,-19.445326018808768,12.61015047021944,4.591313479623827,9.424272727272731,2.400166144200626,-1.2853510971786832,8.359222570532912,cheerful
b'SOUDJIG12A6D4FD426',b'Love Goes Down (Part Deux)',217.88689,0,0.0,0.0,0.702226584698042,168.027,4,-20.56068364197531,0.3536311728395063,0.29795987654321,0.1463287037037037,0.5697623456790124,0.2690108024691358,0.4120231481481478,0.2794845679012345,0.3009320987654321,0.455125,0.1842222222222222,0.2852067901234568,0.177212962962963,42.64786728395061,-24.431445987654328,39.35368209876541,-2.1798904320987624,2.315015432098767,-7.635527777777775,14.154853395061744,-0.9931728395061724,-8.880305555555546,-5.024305555555558,-2.4107345679012324,-0.622995370370364,romantic
b'SOGNLAE12A8C13ADD9',b'Encouraged',301.26975,0,0.0,0.0,0.8861393811024436,89.607,4,-15.910474962063734,0.4651745068285284,0.6735227617602425,0.3567291350531106,0.433599393019727,0.305606980273141,0.3451206373292863,0.4668786039453719,0.3381631259484063,0.4793179059180577,0.3577731411229139,0.4397898330804257,0.3190743550834598,48.67871775417288,23.616274658573577,-6.585452959028825,2.5361365705614545,18.97663960546276,-8.824697268588777,4.8708550834597855,-3.679540212443094,-9.398014415781482,-6.081025796661611,1.7801525037936257,2.645988619119876,romantic
